Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000569630017392398,3.03803069619026E-08,0.00922182249395262,0,0,0,0.18082530104154,0.00022620711794831,-3.9338122016661E-10,-2.17045606668747E-06,0.000225328856837432,2.22144774604557E-10,0.000296435262022703,0,0,0,0,0,0,package://eu_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/base_link.STL,,EY-JXB24001_ASM-1/ASM0001_ASM-1/PRT0005-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/WS200001-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-2;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-5;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-6;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-4;EY-JXB24001_ASM-1/ASM0001_ASM-1/ASM0001-1_ASM-1/M3X80001-3;EY-JXB24001_ASM-1/PP11L00_ASM-1/110002-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.0137250306129721,-7.81643254228359E-08,0.00832917079510267,0,0,0,0.116461847433707,0.000170578521014201,-1.3562757825969E-11,-1.27272793150686E-05,0.000194893575433069,-3.76907861533648E-12,0.000145446828492521,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link1.STL,,EY-JXB24001_ASM-1/PP11L00_ASM-1/110001-1;EY-JXB24001_ASM-1/PP11L00_ASM-1/110003-1;EY-JXB24001_ASM-1/PP11L00_ASM-2/110002-1,Origin_1,基准轴1,1,revolute,0,0,0.089,0,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link2,-5.99061814877216E-12,0.0915000007413379,0.00751019564382356,0,0,0,0.234709114351985,0.0017695944089596,-8.97349963315641E-10,-4.90490218242585E-14,0.000376025375309406,1.02670751403727E-12,0.00166774796618701,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link2.STL,,EY-JXB24001_ASM-1/PP11L00_ASM-2/110001-1;EY-JXB24001_ASM-1/PP11L00_ASM-2/110003-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/PRT0006-1;EY-JXB24001_ASM-1/PP11L00_ASM-3/110001-1;EY-JXB24001_ASM-1/PP11L00_ASM-3/110003-1,Origin_2,基准轴2,2,revolute,-0.091,0,0,1.5708,0,-1.5708,Empty_Link1,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link3,1.82416099223756E-07,0.0711192157304159,-0.0530808547941439,0,0,0,0.180390544750724,0.00102331168551838,-9.69887889284E-09,3.40550084028118E-09,0.000197311398334318,0.000155471803522527,0.000976068897252984,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link3.STL,,EY-JXB24001_ASM-1/PP11L00_ASM-3/110002-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/PRT0007-1;EY-JXB24001_ASM-1/ASM0001_ASM-1/PRT0009-1;EY-JXB24001_ASM-1/PP0800_ASM-1/080001-1;EY-JXB24001_ASM-1/PP0800_ASM-1/080002-1,Origin_3,基准轴3,3,revolute,0,0.183,-0.028,0,0,0,Empty_Link2,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link4,3.6242467060177E-08,-0.00470756955606594,0.0107231777971986,0,0,0,0.0706606867761386,7.43845569259402E-05,-3.63307477675448E-11,-1.02342148167851E-10,5.91629076702736E-05,-3.58632853565445E-06,6.58062483792034E-05,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link4.STL,,EY-JXB24001_ASM-1/PP0800_ASM-2/080001-1;EY-JXB24001_ASM-1/PP0800_ASM-1/080003-1;EY-JXB24001_ASM-1/PP0800_ASM-2/080002-1,Origin_4,基准轴4,4,revolute,0,0.163,0.013,3.1416,0,3.1416,Empty_Link3,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link5,0.00470756955606587,3.62424674036299E-08,-0.0402768222028012,0,0,0,0.0706606867761387,5.91629076702735E-05,3.63307483229637E-11,3.58632853565452E-06,7.43845569259399E-05,-1.02342148221937E-10,6.58062483792031E-05,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link5.STL,,EY-JXB24001_ASM-1/PP0800_ASM-2/080003-1;EY-JXB24001_ASM-1/PP0800_ASM-3/080001-1;EY-JXB24001_ASM-1/PP0800_ASM-3/080002-1,Origin_5,基准轴5,5,revolute,0,0.023,0,1.5708,-1.5708,0,Empty_Link4,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link6,-0.000708333614737322,-1.62329043516118E-08,-0.0168770380672265,0,0,0,0.0414634544904291,1.60344596736767E-05,1.31407807798367E-11,-5.05459093043561E-07,1.64082762518063E-05,-2.03895576313282E-12,2.20117636372205E-05,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://eu_description/meshes/Empty_Link6.STL,,EY-JXB24001_ASM-1/ASM0001_ASM-1/PRT0002-1;EY-JXB24001_ASM-1/PP0800_ASM-3/080003-1,Origin_6,基准轴6,6,revolute,-0.066,0,-0.051,3.1416,1.5708,0,Empty_Link5,0,0,1,0,0,0,0,,,,,,,,
